teacherSupportKey,teacherSupportValue,mathInterestKey,mathInterestValue,count,proportion
ST83Q04,Strongly disagree,ST29Q04,Strongly disagree,3659,0.4569751467465967
ST83Q04,Strongly disagree,ST29Q04,Disagree,2178,0.2720119895091795
ST83Q04,Strongly disagree,ST29Q04,Agree,1418,0.17709504183839142
ST83Q04,Strongly disagree,ST29Q04,Strongly agree,752,0.0939178219058324
ST83Q04,Strongly disagree,ST29Q06,Strongly disagree,2820,0.35241189702574355
ST83Q04,Strongly disagree,ST29Q06,Disagree,2163,0.27030742314421397
ST83Q04,Strongly disagree,ST29Q06,Agree,2094,0.2616845788552862
ST83Q04,Strongly disagree,ST29Q06,Strongly agree,925,0.11559610097475631
ST83Q04,Disagree,ST29Q01,Strongly disagree,6741,0.3265197384354565
ST83Q04,Disagree,ST29Q01,Disagree,8841,0.42823928311939935
ST83Q04,Disagree,ST29Q01,Agree,3922,0.1899733591668685
ST83Q04,Disagree,ST29Q01,Strongly agree,1141,0.055267619278275615
ST83Q04,Disagree,ST29Q03,Strongly disagree,6273,0.3047216554940251
ST83Q04,Disagree,ST29Q03,Disagree,8978,0.43612163606334403
ST83Q04,Disagree,ST29Q03,Agree,4153,0.20173904595356068
ST83Q04,Disagree,ST29Q03,Strongly agree,1182,0.057417662489070244
ST83Q04,Disagree,ST29Q04,Strongly disagree,5746,0.27923024589367285
ST83Q04,Disagree,ST29Q04,Disagree,8294,0.403051802896297
ST83Q04,Disagree,ST29Q04,Agree,4935,0.23981922441442316
ST83Q04,Disagree,ST29Q04,Strongly agree,1603,0.07789872679560696
ST83Q04,Disagree,ST29Q06,Strongly disagree,3924,0.1908003500923855
ST83Q04,Disagree,ST29Q06,Disagree,7587,0.36890985121073616
ST83Q04,Disagree,ST29Q06,Agree,7042,0.3424098025867937
ST83Q04,Disagree,ST29Q06,Strongly agree,2013,0.0978799961100846
ST83Q04,Agree,ST29Q01,Strongly disagree,14187,0.19340458598031463
ST83Q04,Agree,ST29Q01,Disagree,31956,0.43564086484717945
ST83Q04,Agree,ST29Q01,Agree,22241,0.3032009161054612
ST83Q04,Agree,ST29Q01,Strongly agree,4970,0.06775363306704474
ST83Q04,Agree,ST29Q03,Strongly disagree,11715,0.16004098360655739
ST83Q04,Agree,ST29Q03,Disagree,30989,0.4233469945355191
ST83Q04,Agree,ST29Q03,Agree,24660,0.3368852459016393
ST83Q04,Agree,ST29Q03,Strongly agree,5836,0.07972677595628415
ST83Q04,Agree,ST29Q04,Strongly disagree,11048,0.15102799650043744
ST83Q04,Agree,ST29Q04,Disagree,29670,0.40559383202099736
ST83Q04,Agree,ST29Q04,Agree,25204,0.3445428696412948
ST83Q04,Agree,ST29Q04,Strongly agree,7230,0.09883530183727034
ST83Q04,Agree,ST29Q06,Strongly disagree,6737,0.09211479825532903
ST83Q04,Agree,ST29Q06,Disagree,22926,0.31346650806021575
ST83Q04,Agree,ST29Q06,Agree,34175,0.46727374653048387
ST83Q04,Agree,ST29Q06,Strongly agree,9299,0.12714494715397132
ST83Q04,Strongly agree,ST29Q01,Strongly disagree,9328,0.17187816697683847
ST83Q04,Strongly agree,ST29Q01,Disagree,17458,0.3216819295756481
ST83Q04,Strongly agree,ST29Q01,Agree,18522,0.34128724364762025
ST83Q04,Strongly agree,ST29Q01,Strongly agree,8963,0.16515265979989313
ST83Q04,Strongly agree,ST29Q03,Strongly disagree,7022,0.12973672055427252
ST83Q04,Strongly agree,ST29Q03,Disagree,16081,0.297108545034642
ST83Q04,Strongly agree,ST29Q03,Agree,20152,0.37232332563510395
ST83Q04,Strongly agree,ST29Q03,Strongly agree,10870,0.20083140877598152
ST83Q04,Strongly agree,ST29Q04,Strongly disagree,7009,0.1296042899408284
ST83Q04,Strongly agree,ST29Q04,Disagree,16242,0.3003328402366864
ST83Q04,Strongly agree,ST29Q04,Agree,18875,0.3490199704142012
ST83Q04,Strongly agree,ST29Q04,Strongly agree,11954,0.22104289940828403
ST83Q04,Strongly agree,ST29Q06,Strongly disagree,4186,0.07735521306870681
ST83Q04,Strongly agree,ST29Q06,Disagree,10832,0.20017001145729385
ST83Q04,Strongly agree,ST29Q06,Agree,23100,0.4268765938574121
ST83Q04,Strongly agree,ST29Q06,Strongly agree,15996,0.2955981816165872
